"HUTB-008237         ",76,,"Abat Samso, 4, bxs","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8017
"HUTB-009567         ",85,,"Abdo Teradas, 17","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8012
"HUTB-009564         ",88,,"Abdo Terradas, 15, bloc A, bxs","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8012
"HUTB-009565         ",79,,"Abdo Terradas, 15, bloc B, bxs","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8012
"HUTB-013237         ",1,,"Acàcies, 52, 1r. 2a.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8027
"HUTB-003646         ",52,,"Acacies, 52, 2n. 1a.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8027
"HUTB-003647         ",93,,"Acacies, 52, bxs 1a.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8027
"HUTB-005059         ",43,,"Acacies, 52, pral 2a.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8027
"HUTB-002416         ",20,,"Aglà, 4, 1r. 1a.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8002
"HUTB-012562         ",34,,"Agudells, 27","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8032
"HUTB-003654         ",20,,"Agullers, 22, 1r.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8003
"HUTB-003650         ",16,,"Agullers, 22, 2n.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8003
"HUTB-003651         ",19,,"Agullers, 22, 3r.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8003
"HUTB-003652         ",18,,"Agullers, 22, 4t.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8003
"HUTB-005060         ",18,,"Alaba, 156, sat 1a.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC",,,8018
"HUTB-005317         ",74,,"Alberes, 18, bxs 2a.","Barcelona","Barcelonès","BARCELONA","HAB. ÚS TURÍSTIC","antoniosabater@live.com",,8017
