EXPEDIENT;DISTRICTE;BARRI;TIPUS_CARRER;CARRER;TIPUS_NUM;NUM1;LLETRA1;NUM2;LLETRA2;BLOC;PORTAL;ESCALA;PIS;PORTA
05-2014-0020;Sarrià-Sant Gervasi;Sarrià;C;ABAT SAMSO;2;4;;;;;;;BJ;
06-2014-0312;Gràcia;la Vila de Gràcia;C;ABDO TERRADAS;1;15;;17;;;;;BJ;A
06-2014-0314;Gràcia;la Vila de Gràcia;C;ABDO TERRADAS;1;15;;17;;;;;BJ;B
06-2014-0313;Gràcia;la Vila de Gràcia;C;ABDO TERRADAS;1;15;;17;;;;;BJ;C
09-2014-0226;Sant Andreu;el Congrés i els Indians;C;ACACIES;2;52;;;;;;;01;2
09-2012-0225;Sant Andreu;el Congrés i els Indians;C;ACACIES;2;52;;;;;;;02;1
09-2012-0294;Sant Andreu;el Congrés i els Indians;C;ACACIES;2;52;;;;;;;BJ;1
09-2013-0041;Sant Andreu;el Congrés i els Indians;C;ACACIES;2;52;;;;;;;PR;2
05-2014-0170;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;PL;ADRIA;1;5;;;;;;;01;1
07-2014-0258;Horta-Guinardó;la Font d'en Fargues;C;AGUDELLS;1;27;;;;;;;;
01-2011-0123;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;C;AGULLERS;2;22;;;;;;;01;
01-2011-0152;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;C;AGULLERS;2;22;;;;;;;02;
01-2011-0153;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;C;AGULLERS;2;22;;;;;;;03;
01-2011-0154;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;C;AGULLERS;2;22;;;;;;;04;
10-2013-0068;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALABA;2;156;;;;;;;SA;1
05-2013-0115;Sarrià-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;C;ALBERES;2;18;;;;;;;BJ;2
10-2012-0695;Sant Martí;Sant Martí de Provençals;C;ALCALA DE GUADAIRA;2;10;;;;;;;01;2
10-2014-0421;Sant Martí;Sant Martí de Provençals;C;ALCALA DE GUADAIRA;1;23;;;;;;;06;1
01-2013-0693;Ciutat Vella;la Barceloneta;C;ALCANAR;2;22;;;;;;;BJ;2
03-2014-0045;Sants-Montjuïc;Sants;C;ALCOLEA;1;19;;;;;;;01;2
03-2014-0044;Sants-Montjuïc;Sants;C;ALCOLEA;1;19;;;;;;;02;2
08-2014-0105;Nou Barris;Porta;C;ALCUDIA;2;28;;30;;;;;01;3
02-2008-1054;Eixample;Sant Antoni;C;ALDANA;1;3;;;;;;;02;5
02-2013-0890;Eixample;Sant Antoni;C;ALDANA;1;9;;;;;;;08;1
02-2013-0829;Eixample;Sant Antoni;C;ALDANA;2;12;;;;;;;02;1
06-2013-0090;Gràcia;el Coll;C;ALDEA;2;16;;;;;;;BJ;
10-2014-0695;Sant Martí;el Besòs i el Maresme;C;ALFONS EL MAGNANIM;1;71;;;;;;;10;1
10-2014-0864;Sant Martí;el Besòs i el Maresme;C;ALFONS EL MAGNANIM;1;77;B;;;;;;07;1
10-2014-0863;Sant Martí;el Besòs i el Maresme;C;ALFONS EL MAGNANIM;1;77;B;;;;;;07;2
06-2014-0002;Gràcia;Vallcarca i els Penitents;PL;ALFONSO COMIN;2;4;;;;;;;BJ;2
10-2012-0467;Sant Martí;el Parc i la Llacuna del Poblenou;PTGE;ALI BEI;2;4;;;;;;;;
10-2013-0259;Sant Martí;el Parc i la Llacuna del Poblenou;PTGE;ALI BEI;1;7;;;;;;;01;1
10-2013-0261;Sant Martí;el Parc i la Llacuna del Poblenou;PTGE;ALI BEI;1;7;;;;;;;01;2
10-2013-0260;Sant Martí;el Parc i la Llacuna del Poblenou;PTGE;ALI BEI;1;7;;;;;;;02;1
10-2013-0266;Sant Martí;el Parc i la Llacuna del Poblenou;PTGE;ALI BEI;1;7;;;;;;;02;2
10-2013-0265;Sant Martí;el Parc i la Llacuna del Poblenou;PTGE;ALI BEI;1;7;;;;;;;AT;1
10-2013-0263;Sant Martí;el Parc i la Llacuna del Poblenou;PTGE;ALI BEI;1;7;;;;;;;AT;2
10-2013-0258;Sant Martí;el Parc i la Llacuna del Poblenou;PTGE;ALI BEI;1;7;;;;;;;BJ;1
10-2013-0264;Sant Martí;el Parc i la Llacuna del Poblenou;PTGE;ALI BEI;1;7;;;;;;;BJ;2
02-2014-2052;Eixample;la Dreta de l'Eixample;C;ALI BEI;2;12;;;;;;;PR;1
02-2014-1268;Eixample;el Fort Pienc;C;ALI BEI;2;22;;;;;;;03;3
02-2014-1111;Eixample;la Dreta de l'Eixample;C;ALI BEI;1;27;;;;;;;PR;1B
02-2009-0773;Eixample;la Dreta de l'Eixample;C;ALI BEI;1;29;;;;;;;01;2
02-2008-1141;Eixample;la Dreta de l'Eixample;C;ALI BEI;1;29;;;;;;;02;1
02-2008-0807;Eixample;la Dreta de l'Eixample;C;ALI BEI;1;29;;;;;;;02;3
02-2009-1012;Eixample;la Dreta de l'Eixample;C;ALI BEI;1;29;;;;;;;02;4
02-2008-1140;Eixample;la Dreta de l'Eixample;C;ALI BEI;1;29;;;;;;;03;1
02-2009-0448;Eixample;la Dreta de l'Eixample;C;ALI BEI;1;29;;;;;;;03;2
02-2012-0903;Eixample;la Dreta de l'Eixample;C;ALI BEI;1;29;;;;;;;05;2
02-2009-0762;Eixample;la Dreta de l'Eixample;C;ALI BEI;1;29;;;;;;;AT;2
02-2013-2472;Eixample;el Fort Pienc;C;ALI BEI;1;37;;;;;;;01;1
02-2014-0290;Eixample;el Fort Pienc;C;ALI BEI;2;38;;;;;;;EN;4
02-2014-0638;Eixample;el Fort Pienc;C;ALI BEI;1;57;;;;;;;02;1
02-2012-1862;Eixample;el Fort Pienc;C;ALI BEI;1;57;;;;;;;03;4
03-2014-0451;Sants-Montjuïc;Hostafrancs;C;ALIGA;2;6;;;;;;;EN;2
03-2013-0763;Sants-Montjuïc;Hostafrancs;C;ALIGA;2;28;;;;;;;01;2
03-2013-0765;Sants-Montjuïc;Hostafrancs;C;ALIGA;2;28;;;;;;;02;1
03-2013-0766;Sants-Montjuïc;Hostafrancs;C;ALIGA;2;28;;;;;;;02;2
03-2013-0767;Sants-Montjuïc;Hostafrancs;C;ALIGA;2;28;;;;;;;AT;
03-2013-0768;Sants-Montjuïc;Hostafrancs;C;ALIGA;2;28;;;;;;;PR;1
03-2013-0764;Sants-Montjuïc;Hostafrancs;C;ALIGA;2;28;;;;;;;PR;2
06-2012-0364;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;1;5;;;;;;;01;1
06-2013-0147;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;2;8;;;;;;;02;
06-2009-0168;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;2;12;;;;;;;01;1
06-2009-0170;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;2;12;;;;;;;01;2
06-2012-0443;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;2;12;;;;;;;02;1
06-2012-0444;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;2;12;;;;;;;02;2
06-2013-0666;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;1;29;;;;;;;BJ;
06-2012-0365;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;2;30;;;;;;;BJ;2
06-2014-0009;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;2;32;;;;;;;02;1
06-2013-0176;Gràcia;el Camp d'en Grassot i Gràcia Nova;PTGE;ALIO;2;38;;;;;;;02;1
03-2013-0199;Sants-Montjuïc;Sants;C;ALMERIA;2;30;;;;;;;02;3
10-2009-0029;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALMOGAVERS;2;6;;;;;;;EN;4
10-2008-0398;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALMOGAVERS;2;54;;;;;;;02;1
10-2012-0247;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALMOGAVERS;2;54;;;;;;;02;2
10-2012-0550;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALMOGAVERS;2;56;;;;;;;02;3
10-2014-0100;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALMOGAVERS;2;56;;;;;;;04;2
10-2012-0172;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALMOGAVERS;2;56;;;;;;;05;2
10-2008-0352;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALMOGAVERS;2;58;;;;;;;02;2
10-2014-0388;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALMOGAVERS;2;148;;;;;;;04;2
03-2014-0427;Sants-Montjuïc;la Bordeta;C;ALPENS;2;6;;;;;;;01;
03-2014-0405;Sants-Montjuïc;la Bordeta;C;ALPENS;2;6;;;;;;;02;
03-2014-0402;Sants-Montjuïc;la Bordeta;C;ALPENS;2;6;;;;;;;03;
03-2014-0429;Sants-Montjuïc;la Bordeta;C;ALPENS;2;6;;;;;;;04;
03-2014-0426;Sants-Montjuïc;la Bordeta;C;ALPENS;2;6;;;;;;;BJ;
05-2012-0303;Sarrià-Sant Gervasi;les Tres Torres;C;ALT DE GIRONELLA;1;5;;;;;;D;03;3
05-2012-0428;Sarrià-Sant Gervasi;les Tres Torres;C;ALT DE GIRONELLA;2;40;;;;;;;01;4
03-2014-0526;Sants-Montjuïc;la Marina de Port;C;ALTS FORNS;1;27;B;;;;;;04;3
06-2014-0339;Gràcia;la Vila de Gràcia;C;ALZINA;1;19;;;;;;;BJ;
06-2012-0449;Gràcia;la Vila de Gràcia;C;ALZINA;2;26;;;;;;;01;
06-2014-0092;Gràcia;la Vila de Gràcia;C;ALZINA;2;34;;;;;;;BJ;
07-2014-0033;Horta-Guinardó;el Guinardó;C;AMERICA;2;22;;;;;;;2;
05-2010-0501;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;C;AMIGO;2;14;;;;;;;02;3
07-2011-0152;Horta-Guinardó;el Guinardó;C;AMILCAR;2;150;;;;;;;3;3
07-2014-0353;Horta-Guinardó;el Guinardó;C;AMILCAR;2;166;;;;;;;BJ;
10-2012-0548;Sant Martí;el Poblenou;C;AMISTAT;2;16;;22;;;;;01;3
10-2013-0163;Sant Martí;el Poblenou;C;AMISTAT;2;22;;;;;;;01;1
10-2013-0603;Sant Martí;el Poblenou;C;AMISTAT;2;22;;;;;;;02;6
10-2010-0357;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;01;1
10-2010-0365;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;01;2
10-2010-0364;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;01;3
10-2010-0356;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;01;4
10-2010-0366;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;02;1
10-2010-0363;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;02;2
10-2010-0361;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;03;1
10-2010-0362;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;03;2
10-2010-0359;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;04;1
10-2010-0358;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;04;2
10-2010-0354;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;BJ;1
10-2010-0355;Sant Martí;el Poblenou;C;AMISTAT;2;44;;;;;;;BJ;2
01-2013-1029;Ciutat Vella;el Barri Gòtic;C;AMPLE;2;42;;;;;;;01;B
01-2013-1028;Ciutat Vella;el Barri Gòtic;C;AMPLE;2;42;;;;;;;PR;B
03-2013-0472;Sants-Montjuïc;la Font de la Guatlla;C;AMPOSTA;1;1;;;;;;;04;3
03-2013-0687;Sants-Montjuïc;la Font de la Guatlla;C;AMPOSTA;1;1;;;;;;;05;6
03-2014-0461;Sants-Montjuïc;la Font de la Guatlla;C;AMPOSTA;2;20;;;;;;;BJ;
03-2009-0484;Sants-Montjuïc;la Font de la Guatlla;C;AMPOSTA;2;20;;;;;;;PR;2
03-2011-0266;Sants-Montjuïc;la Font de la Guatlla;C;AMPOSTA;2;26;;;;;;;02;2
06-2013-0149;Gràcia;el Camp d'en Grassot i Gràcia Nova;PG;AMUNT;2;18;;;;;;;AT;2
06-2012-0619;Gràcia;el Camp d'en Grassot i Gràcia Nova;PG;AMUNT;2;18;;;;;;;SA;
10-2012-0288;Sant Martí;Sant Martí de Provençals;C;ANDRADE;2;80;;82;;;;;02;1
10-2014-0942;Sant Martí;Sant Martí de Provençals;C;ANDRADE;2;88;;;;;;;03;2
10-2014-0611;Sant Martí;Sant Martí de Provençals;C;ANDRADE;2;116;;;;;;;01;1
10-2013-0635;Sant Martí;la Verneda i la Pau;C;ANDRADE;1;249;;251;;;;;05;3
10-2014-0498;Sant Martí;la Verneda i la Pau;C;ANGELS GARRIGA;2;4;;;;;;;02;1
04-2010-0265;Les Corts;les Corts;C;ANGLESOLA;1;13;;;;;;;01;1
06-2013-0026;Gràcia;Vallcarca i els Penitents;C;ANNA PIFERRER;2;16;;;;;;;06;B
03-2014-0102;Sants-Montjuïc;el Poble Sec;C;ANNIBAL;1;5;;7;;;;;04;2
03-2008-0371;Sants-Montjuïc;Sants;C;ANTONI DE CAPMANY;2;76;;;;;;;01;4
03-2014-0767;Sants-Montjuïc;Sants;C;ANTONI DE CAPMANY;1;81;;83;;;;B;EN;3
10-2012-0381;Sant Martí;la Vila Olímpica del Poblenou;C;ANVERS;1;3;;;;;;;;
10-2012-0457;Sant Martí;la Vila Olímpica del Poblenou;C;ANVERS;1;7;;;;;;;;
02-2013-1012;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;11;;;;;;;AT;A
02-2014-0871;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;19;;;;;;;02;1
02-2013-1124;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;34;;;;;;;01;2
02-2013-1464;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;01;1
02-2013-1633;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;01;2
02-2013-1635;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;01;3
02-2013-1384;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;01;4
02-2013-0856;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;02;1
02-2013-0855;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;02;2
02-2013-1678;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;02;3
02-2013-1676;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;02;4
02-2013-1167;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;03;1
02-2013-1677;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;03;2
02-2013-1552;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;03;3
02-2013-1483;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;03;4
02-2013-1482;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;04;1
02-2013-1465;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;04;2
02-2013-1679;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;04;3
02-2013-0857;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;04;4
02-2013-1603;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;PR;1
02-2013-1631;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;PR;2
02-2013-1168;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;PR;3
02-2013-1604;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;39;;;;;;;PR;4
02-2014-2061;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;51;;;;;;;04;3
02-2012-1276;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;51;;;;;;;05;2
02-2013-1246;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;54;;;;;;;02;2
02-2012-0121;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;58;;;;;;;05;1
02-2012-0122;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;58;;;;;;;05;2
02-2012-0575;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;63;;;;;;;04;2
02-2014-2111;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;78;;;;;;;06;3
02-2013-2461;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;78;;;;;;;SA;1
02-2013-1573;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;83;;;;;;;03;1
02-2013-1457;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;83;;;;;;;05;4
02-2012-1216;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;85;;;;;;;01;4
02-2014-0403;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;85;;;;;;;PR;4
02-2012-1815;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;92;;;;;;;EN;5
02-2013-1379;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;92;;;;;;;EN;6
02-2011-0987;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;95;;;;;;;04;1
02-2012-0741;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;95;;;;;;;AT;2
02-2013-0499;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;100;;;;;;;04;3
02-2013-0510;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;2;116;;;;;;;SA;1
02-2012-1410;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;01;1
02-2012-1413;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;01;2
02-2012-1414;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;02;1
02-2012-1416;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;02;2
02-2012-1419;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;03;1
02-2012-1422;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;03;2
02-2012-1424;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;04;1
02-2012-1427;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;04;2
02-2012-1428;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;05;1
02-2012-1431;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;130;;;;;;;05;2
02-2013-2391;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;140;;;;;;;03;2
02-2013-0999;Eixample;la Nova Esquerra de l'Eixample;C;ARAGO;1;147;;;;;;;03;2
02-2012-2041;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;151;;;;;;;02;
02-2012-1983;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;151;;;;;;;PR;
02-2010-1402;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;01;C
02-2010-1403;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;01;D
02-2010-1404;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;02;C
02-2010-1405;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;02;D
02-2010-1406;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;03;C
02-2010-1407;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;03;D
02-2010-1408;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;04;C
02-2010-1409;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;04;D
02-2010-1410;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;05;C
02-2010-1412;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;155;;;;;;;05;D
02-2014-1622;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;156;;;;;;;03;2
02-2014-0414;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;156;;;;;;;SA;1
02-2009-0872;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;178;;;;;;;02;1
02-2013-0953;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;;01;2
02-2013-2316;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;;01;3
02-2012-1432;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;;02;1
02-2012-1319;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;;03;1
02-2014-0568;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;;03;2
02-2012-1843;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;A;04;
02-2013-0294;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;;05;1
02-2014-0018;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;;PR;1
02-2013-1765;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;;PR;2
02-2013-1625;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;1;207;;;;;;;PR;4
02-2014-1001;Eixample;l'Antiga Esquerra de l'Eixample;C;ARAGO;2;222;;;;;;;03;2
02-2014-1271;Eixample;la Dreta de l'Eixample;C;ARAGO;1;231;;;;;;;01;B
02-2013-0850;Eixample;la Dreta de l'Eixample;C;ARAGO;1;231;B;;;;;;03;1
02-2013-1199;Eixample;la Dreta de l'Eixample;C;ARAGO;2;240;;;;;;;PR;2
02-2014-0095;Eixample;la Dreta de l'Eixample;C;ARAGO;1;249;;;;;;;04;3
02-2014-0137;Eixample;la Dreta de l'Eixample;C;ARAGO;1;249;;;;;;;05;1
02-2013-0671;Eixample;la Dreta de l'Eixample;C;ARAGO;1;249;;;;;;;05;3
02-2013-0286;Eixample;la Dreta de l'Eixample;C;ARAGO;2;250;;;;;;A;02;2
02-2014-0083;Eixample;la Dreta de l'Eixample;C;ARAGO;2;250;;;;;;B;PR;1
02-2010-0813;Eixample;la Dreta de l'Eixample;C;ARAGO;2;252;;;;;;;03;2
02-2014-0958;Eixample;la Dreta de l'Eixample;C;ARAGO;2;266;;;;;;;02;1
02-2012-0951;Eixample;la Dreta de l'Eixample;C;ARAGO;2;266;;;;;;;02;2
02-2014-1501;Eixample;la Dreta de l'Eixample;C;ARAGO;2;266;;;;;;;07;
02-2014-1512;Eixample;la Dreta de l'Eixample;C;ARAGO;2;266;;;;;;;AT;
02-2014-0527;Eixample;la Dreta de l'Eixample;C;ARAGO;1;277;;;;;;;02;1
02-2008-1181;Eixample;la Dreta de l'Eixample;C;ARAGO;1;281;;;;;;;05;2
02-2013-1474;Eixample;la Dreta de l'Eixample;C;ARAGO;1;281;;;;;;;06;1
02-2014-1031;Eixample;la Dreta de l'Eixample;C;ARAGO;2;282;;;;;;;02;1
02-2014-1030;Eixample;la Dreta de l'Eixample;C;ARAGO;2;282;;;;;;;02;2
02-2013-1135;Eixample;la Dreta de l'Eixample;C;ARAGO;2;284;B;;;;;;05;1I
02-2013-0324;Eixample;la Dreta de l'Eixample;C;ARAGO;2;284;B;;;;;;05;2D
02-2013-1134;Eixample;la Dreta de l'Eixample;C;ARAGO;2;284;B;;;;;;06;1D
02-2012-1532;Eixample;la Dreta de l'Eixample;C;ARAGO;2;288;;;;;;;02;
02-2013-0825;Eixample;la Dreta de l'Eixample;C;ARAGO;2;288;;;;;;;04;1
02-2008-0590;Eixample;la Dreta de l'Eixample;C;ARAGO;1;291;;;;;;;02;2
02-2013-1863;Eixample;la Dreta de l'Eixample;C;ARAGO;1;291;;;;;;;04;3
02-2014-2192;Eixample;la Dreta de l'Eixample;C;ARAGO;1;303;;;;;;;04;
02-2012-1524;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;01;1
02-2012-1527;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;01;2
02-2012-1526;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;01;3
02-2012-1528;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;02;1
02-2012-1529;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;02;2
02-2012-1530;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;02;3
02-2012-1549;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;03;1
02-2012-1552;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;03;2
02-2012-1554;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;03;3
02-2012-1556;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;04;1
02-2012-1558;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;04;2
02-2012-1560;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;04;3
02-2012-1562;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;05;1
02-2012-1564;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;05;2
02-2012-1586;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;05;3
02-2012-1565;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;06;1
02-2012-1584;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;06;2
02-2012-1585;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;06;3
02-2012-1390;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;07;1
02-2012-1587;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;07;2
02-2012-1588;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;07;3
02-2012-1589;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;08;
02-2012-1590;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;08;2
02-2012-1591;Eixample;la Dreta de l'Eixample;C;ARAGO;2;312;;;;;;;09;1
02-2014-1178;Eixample;la Dreta de l'Eixample;C;ARAGO;1;321;;;;;;;03;1
02-2014-1183;Eixample;la Dreta de l'Eixample;C;ARAGO;1;321;;;;;;A;04;1
02-2014-1128;Eixample;la Dreta de l'Eixample;C;ARAGO;1;321;;;;;;;05;3
02-2014-1182;Eixample;la Dreta de l'Eixample;C;ARAGO;1;321;;;;;;;06;3
02-2014-1129;Eixample;la Dreta de l'Eixample;C;ARAGO;1;321;;;;;;;07;1
02-2014-1130;Eixample;la Dreta de l'Eixample;C;ARAGO;1;321;;;;;;;07;2
02-2008-1112;Eixample;la Dreta de l'Eixample;C;ARAGO;2;338;;;;;;;01;3
02-2010-0865;Eixample;la Dreta de l'Eixample;C;ARAGO;2;338;;;;;;;06;4
02-2011-0118;Eixample;la Dreta de l'Eixample;C;ARAGO;1;345;;;;;;;03;
